N,value,error
1000,2.41854,0.00669841
2000,2.4175,0.00481085
3000,2.41641,0.00365087
4000,2.41556,0.00346563
5000,2.41581,0.00327626
6000,2.41445,0.00300642
7000,2.41508,0.00269911
8000,2.41505,0.00248352
9000,2.41613,0.00239809
10000,2.417,0.0022989
11000,2.41674,0.00211658
12000,2.41666,0.00208202
13000,2.41668,0.00202505
14000,2.41603,0.00197056
15000,2.41487,0.00192189
16000,2.41465,0.00186348
17000,2.41405,0.00178707
18000,2.41398,0.00173806
19000,2.41386,0.00165669
20000,2.41358,0.00157084
21000,2.41332,0.00155993
22000,2.41345,0.00149911
23000,2.41375,0.00147715
24000,2.41355,0.0013989
25000,2.41345,0.00132735
26000,2.41348,0.0012907
27000,2.41428,0.00129173
28000,2.41435,0.00130584
29000,2.41434,0.00124279
30000,2.41415,0.0012058
31000,2.41377,0.00121896
32000,2.4137,0.00120014
33000,2.41364,0.00118495
34000,2.41393,0.00118103
35000,2.41411,0.00115153
36000,2.41427,0.00113498
37000,2.41427,0.0011202
38000,2.41408,0.00111915
39000,2.41402,0.00108644
40000,2.41383,0.00108805
41000,2.41381,0.00107625
42000,2.41373,0.00105847
43000,2.41403,0.00103011
44000,2.4139,0.00101496
45000,2.41378,0.000989676
46000,2.41363,0.000998601
47000,2.41344,0.000987769
48000,2.41316,0.000967226
49000,2.41331,0.000962439
50000,2.4132,0.000963405
